日付,ライブタイトル,会場名
2024-02-04,Gathering together Vol.3,心斎橋CLAPPER
2024-02-04,AN Fès,心斎橋SUNHALL
2024-02-04,澄野葵生誕祭2024,心斎橋CLAPPER
2024-02-06,〜店長ミブが作曲した人集めまシタ〜vol.2,FANJ twice
2024-02-07,chemical reaction Vol.16,心斎橋VARON
2024-02-09,NO MUSIC. NOぴえん！VOL3 -BIRTHDAYPARTY-冬の歌姫祭-,アメリカ村DROP
2024-02-10,Straight up ,難波Mele
2024-02-11,為虎傅翼ーイコフヨクー 無銭ツアー in Osaka,日本橋Pollux theater
2024-02-12,iDOL-fusion,難波mele
2024-02-14,NiL 主催 TOUR2024 いわおえりか生誕祭,神戸太陽と虎
2024-02-18,AIMING,心斎橋FANJ
2024-02-20,husky confront the grow up,心斎橋VARON
2024-02-22,SNAZZY TUNES×ファミメ！pre.Operation iD,上野音横丁
2024-02-23,SLAPONTHEBACK vol.6-DAY-,目黒鹿鳴館
2024-02-23,SLAPONTHEBACK vol.6-NIGHT-,目黒鹿鳴館
2024-02-24,為虎傅翼ーイコフヨクー 無銭ツアー in Tokyo,新宿HEIST
2024-02-24,YOSHINAGA GIANTS v.s KANEKO LIONS,Shinjuku HEIST
2024-02-25,PEPE FES vol.44,目黒鹿鳴館
2024-02-25,バブルバビデガム!!リリース主催,池袋SOUND PEACE
2024-02-27,chemical reaction Vol.17,心斎橋VARON
2024-02-28,THE ROCK iS IMPULSE / OSAKA,心斎橋VARON
2024-03-01,BAND×IDOL,LIVE HOUSE OPs
2024-03-02,為虎傅翼ーイコフヨクー 無銭ツアー in Fukuoka,
2024-03-02,FROM06,The voodoo lounge
2024-03-03,NiL TOUR 2024 in FUKUOKA,大名Queblick
2024-03-06,おちゃメンタル☆パーティー大阪定期公演 Vol.111,CDCBOX
2024-03-07,chemical reaction Vol.18,心斎橋VARON
2024-03-09,HIMEJI SOUND BOX Vol.66,姫路駅北にぎわい交流広
2024-03-10,IDOORLOVES -SPRING TOUR 2024- 大阪編,心斎橋ANIMA
2024-03-10,AbsoFest,アメリカ村BEYOND
2024-03-12,NiL定期公演SP オーサカヤングガン,心斎橋VARON
2024-03-14,シンデレラ裁判　Vol2,心斎橋VARON
2024-03-15,CR MECHAPOP,アメリカ村BEYOND
2024-03-16,miniちかっぱ祭ver.9.0 in OSAKA,CCO クリエイティブセンター大阪
2024-03-16,OMG tour 2024〜jesus〜,梅田zeela
2024-03-17,miniちかっぱ祭ver.9.0 in OSAKA,CCO クリエイティブセンター大阪
2024-03-20,桃太郎フェス,鬼ヶ島ステージ 特設屋内ステージ
2024-03-20,推せ推せムーブメントin岡山,CRAZY MAMA KINGDOM
2024-03-23,為虎傅翼ーイコフヨクー 無銭ツアー in Okayama,Livestage Ark
2024-03-23,husky GIG in Okayama,Livestage Ark
2024-03-24,為虎傅翼ーイコフヨクー 無銭ツアー in Hiroshima,広島ピースカフェ
2024-03-24,husky GIG in Hiroshima,広島ピースカフェ
2024-03-26,Gathering together Vol.3.5,心斎橋VARON
2024-03-28,chemical reaction Vol.19,心斎橋VARON
2024-03-30,Gathering together Vol.4,新宿HEIST
2024-03-30,Serenade-NIGHT-,SHBUYA DIVE
2024-03-31,「Beautiful Harmony」,白金高輪SELENE b2
2024-03-31,エキセントリックトーキョー,SHIBUYA CLUB QUATTRO
2024-04-01,AFTER DARK,SHBUYA DIVE
2024-04-04,シンデレラ裁判　Vol.3,心斎橋VARON ⏰開場：18:00開演：18:30💰前売：￥2000　当日：￥2500
2024-04-06,ぱんどらみみっく,難波mele
2024-04-06,キグルイフェス 2024,アメリカ村BEYOND
2024-04-07,IDOL-fusion,長堀橋WAXX
2024-04-10,chemical reaction Vol.20,心斎橋VARON
2024-04-13,為虎傅翼ーイコフヨクー 無銭ツアー in Nagoya,鶴舞DAYTRIP
2024-04-13,husky GIG in Nagoya,鶴舞DAYTRIP
2024-04-14,柳ヶ瀬日ノ出町より元気を発信！,日ノ出町商店街
2024-04-16,らららんど,BANANA HALL
2024-04-18,NiL TOUR 2024 OSAKA SEMIFINAL,心斎橋BIGCAT
2024-04-20,推し事.HepLive,HEP HALL
2024-04-21,IDOL PARADISE番外編,高松=Heaven
2024-04-22,STARZ AWAKE 008,OSAKA RUIDO
2024-04-25,chemical reaction Vol.21,心斎橋VARON
2024-04-26,TOKYO IDOL MONSTERS 9#ドルモン-PREMIUM THE 4MAN SHOW-,SHIBUYA THE GAME
2024-04-27,エキセントリックトーキョー,代官山SpaceODD
2024-04-28,Killer Tune SHIBUYA 2024 Vol.46,SHIBUYA CYCLONE
2024-04-28,神田地下界隈-KANDA UNDER GROUND SCENE-SCENE4<指令:爆音ヲ堪能シ共に乾杯セヨ>,神田F#
